Entrez GeneID 1	Entrez GeneID 2	Pathophenotypic similarity
5961	5959	3.9639
23414	2657	3.9637
11236	84925	3.9607
11236	4968	3.9607
84925	4968	3.9607
6795	3972	3.9571
6005	6710	3.9516
1824	3753	3.9473
1824	3757	3.9473
1824	9992	3.9473
56246	4158	3.947
6785	8842	3.9467
7507	1643	3.9455
3315	26353	3.9445
57716	1959	3.9426
2811	2812	3.9401
2811	2815	3.9401
7421	142680	3.9391
25	613	3.9384
4089	657	3.938
5961	8842	3.9377
1411	2703	3.9354
4000	10269	3.9318
147138	11322	3.9239
5318	3753	3.9238
5318	3757	3.9238
5318	9992	3.9238
6710	286	3.9227
4070	200576	3.9198
64421	3981	3.9189
7045	200576	3.918
10483	146059	3.913
6005	6708	3.9081
4233	8312	3.9045
338	336	3.9043
338	3949	3.9043
338	2053	3.9043
3798	9897	3.8888
6390	7428	3.8841
51062	9897	3.8828
2153	3998	3.8783
5189	55670	3.8782
4669	138050	3.8763
2263	2255	3.8763
7508	7507	3.8713
1824	5318	3.8664
6708	286	3.8646
269	268	3.8593
1829	7043	3.8509
29914	200576	3.8502
4593	1140	3.8472
720	717	3.8449
9897	123606	3.8445
51360	6303	3.8282
6833	2645	3.8277
50506	389434	3.8275
5376	4359	3.8211
1729	79784	3.8179
1729	71	3.8179
1729	1687	3.8179
5605	5604	3.8158
1824	6331	3.8106
462	5624	3.8088
1829	5318	3.8049
1145	1140	3.8033
3858	3848	3.8026
6017	5961	3.8017
3039	3043	3.8002
57716	4747	3.7973
10984	283120	3.7971
283120	1028	3.7971
2120	4297	3.7938
4291	4297	3.7938
4297	6455	3.7938
4297	2322	3.7938
4297	8021	3.7938
4297	8028	3.7938
4297	4026	3.7938
4297	23365	3.7938
4297	4869	3.7938
4297	8301	3.7938
4297	8833	3.7938
4297	54904	3.7938
4297	1050	3.7938
5192	5194	3.7915
5192	5830	3.7915
5194	5830	3.7915
7078	5961	3.7854
5795	5157	3.7843
5157	8313	3.7843
5157	27030	3.7843
5157	2033	3.7843
554	359	3.7836
6792	7337	3.7826
8504	5195	3.7821
8504	5824	3.7821
5195	5824	3.7821
8291	8557	3.7814
731	732	3.777
5605	673	3.7722
5604	673	3.7722
3845	673	3.7659
5376	57716	3.7658
1300	4322	3.759
153201	54716	3.7576
2538	2542	3.7574
84059	6335	3.7564
2741	2743	3.755
2741	9152	3.755
2743	9152	3.755
1824	7043	3.7485
7157	1029	3.7447
5345	2157	3.7443
3845	5605	3.7436
3845	5604	3.7436
3691	3918	3.7408
3691	3914	3.7408
8200	3549	3.7403
57716	81846	3.7397
4297	613	3.7358
2159	196527	3.7314
326625	166785	3.7246
1896	10913	3.7238
1896	128178	3.7238
8504	5192	3.7232
8504	5194	3.7232
8504	5830	3.7232
5192	5195	3.7232
5192	5824	3.7232
5194	5195	3.7232
5194	5824	3.7232
5195	5830	3.7232
5830	5824	3.7232
4653	1545	3.7224
6010	5959	3.7112
3075	1675	3.711
4771	4330	3.7068
2720	2588	3.7048
7066	3717	3.702
10021	2702	3.7019
4703	58	3.7017
7157	5157	3.6983
10786	2542	3.6973
3887	3889	3.6973
3887	3892	3.6973
3889	3892	3.6973
6448	2799	3.6968
57716	9516	3.6876
6323	2566	3.6871
6785	5961	3.686
286676	117531	3.6853
286676	7007	3.6853
286676	2299	3.6853
286676	9132	3.6853
286676	5962	3.6853
286676	64699	3.6853
286676	2070	3.6853
286676	79977	3.6853
117531	7007	3.6853
117531	2299	3.6853
117531	9132	3.6853
117531	5962	3.6853
117531	64699	3.6853
117531	2070	3.6853
117531	79977	3.6853
7007	2299	3.6853
7007	9132	3.6853
7007	5962	3.6853
7007	64699	3.6853
7007	2070	3.6853
7007	79977	3.6853
2299	9132	3.6853
2299	5962	3.6853
2299	64699	3.6853
2299	2070	3.6853
2299	79977	3.6853
9132	5962	3.6853
9132	64699	3.6853
9132	2070	3.6853
9132	79977	3.6853
5962	64699	3.6853
5962	2070	3.6853
5962	79977	3.6853
64699	2070	3.6853
64699	79977	3.6853
2070	79977	3.6853
183	1636	3.6828
2242	5914	3.6802
1285	1286	3.6782
23590	27235	3.6777
23590	56997	3.6777
23590	57017	3.6777
23590	57107	3.6777
27235	56997	3.6777
27235	57017	3.6777
27235	57107	3.6777
56997	57017	3.6777
56997	57107	3.6777
57017	57107	3.6777
81846	4747	3.6769
1290	1277	3.6766
4593	1145	3.6733
1308	3918	3.6703
1308	3914	3.6703
4629	4851	3.6702
5189	5192	3.6675
5189	5194	3.6675
5189	5830	3.6675
5192	55670	3.6675
5194	55670	3.6675
55670	5830	3.6675
3798	123606	3.6657
51371	3849	3.6652
7873	1029	3.662
29914	83959	3.6618
29914	1296	3.6618
4609	8115	3.6585
5627	3053	3.6558
55812	6100	3.6557
55812	6101	3.6557
55812	3614	3.6557
2120	613	3.6544
4291	613	3.6544
6455	613	3.6544
2322	613	3.6544
6315	724066	3.6544
8021	613	3.6544
8028	613	3.6544
4026	613	3.6544
23365	613	3.6544
4869	613	3.6544
8301	613	3.6544
613	8833	3.6544
613	54904	3.6544
613	1050	3.6544
1188	1187	3.6516
2157	196527	3.648
286676	3082	3.6476
286676	51168	3.6476
117531	3082	3.6476
117531	51168	3.6476
7007	3082	3.6476
7007	51168	3.6476
2299	3082	3.6476
2299	51168	3.6476
9132	3082	3.6476
9132	51168	3.6476
3082	5962	3.6476
3082	64699	3.6476
3082	2070	3.6476
3082	79977	3.6476
5962	51168	3.6476
51168	64699	3.6476
51168	2070	3.6476
51168	79977	3.6476
2155	2161	3.6441
7078	7439	3.6441
1373	5009	3.6434
1289	1277	3.6403
